Index,Dates,Time,Score,Class
1,11-10-2020, 16:44:03,21.81,snoring
2,11-10-2020, 16:44:04,22.3,snoring
3,11-10-2020, 16:44:04,18.69,snoring
4,11-10-2020, 16:44:05,18.69,snoring
5,11-10-2020, 16:46:35,14.52,snoring
6,11-10-2020, 16:46:35,14.52,snoring
7,11-10-2020, 16:49:38,15.66,snoring
8,11-10-2020, 16:50:41,14.93,snoring
9,11-10-2020, 16:50:41,14.93,snoring
10,11-10-2020, 16:50:43,20.22,snoring
11,11-10-2020, 16:50:43,18.39,snoring
12,11-10-2020, 16:50:44,18.39,snoring
13,11-10-2020, 16:50:44,18.35,snoring
14,11-10-2020, 16:50:45,18.35,snoring
15,11-10-2020, 16:50:45,19.24,snoring
16,11-10-2020, 16:50:48,18.06,snoring
17,11-10-2020, 16:50:48,15.01,snoring
18,11-10-2020, 16:50:49,15.01,snoring
19,11-10-2020, 16:50:49,14.74,snoring
20,11-10-2020, 16:50:50,14.74,snoring
21,11-10-2020, 16:51:00,18.04,snoring
22,11-10-2020, 16:51:01,18.04,snoring
23,11-10-2020, 16:51:01,18.06,snoring
24,11-10-2020, 16:51:02,18.06,snoring
25,11-10-2020, 16:51:03,20.15,snoring
26,11-10-2020, 16:51:03,18.89,snoring
27,11-10-2020, 16:51:12,18.95,snoring
28,11-10-2020, 16:51:12,19.57,snoring
29,11-10-2020, 16:51:13,19.57,snoring
30,11-10-2020, 16:51:31,20.33,snoring
31,11-10-2020, 16:51:31,20.33,snoring
32,11-10-2020, 16:51:32,19.95,snoring
33,11-10-2020, 16:51:33,19.95,snoring
34,11-10-2020, 16:51:33,18.94,snoring
35,11-10-2020, 16:51:34,19.16,snoring
36,11-10-2020, 16:51:34,19.16,snoring
37,11-10-2020, 16:51:35,19.92,snoring
38,11-10-2020, 16:51:36,19.93,snoring
39,11-10-2020, 16:51:36,20.45,snoring
40,11-10-2020, 16:51:37,20.45,snoring
41,11-10-2020, 16:51:37,20.32,snoring
42,11-10-2020, 16:51:38,20.32,snoring
43,11-10-2020, 16:51:39,21.57,snoring
44,11-10-2020, 16:51:39,22.31,snoring
45,11-10-2020, 16:51:40,22.95,snoring
46,11-10-2020, 16:51:40,22.95,snoring
47,11-10-2020, 16:51:41,18.69,snoring
48,11-10-2020, 16:51:41,18.69,snoring
49,11-10-2020, 16:51:51,16.11,snoring
50,11-10-2020, 16:51:53,13.99,snoring
51,11-10-2020, 16:51:53,13.99,snoring
52,11-10-2020, 16:51:54,14.7,snoring
53,11-10-2020, 16:51:55,14.18,snoring
54,11-10-2020, 16:51:55,16.82,snoring
55,11-10-2020, 16:51:56,16.82,snoring
56,11-10-2020, 16:51:56,18.52,snoring
57,11-10-2020, 16:51:57,18.52,snoring
58,11-10-2020, 16:51:57,18.7,snoring
59,11-10-2020, 16:51:58,19.35,snoring
60,11-10-2020, 16:51:59,19.35,snoring
61,11-10-2020, 16:51:59,19.82,snoring
62,11-10-2020, 16:52:00,18.93,snoring
